id;numero_caisse_maladie;nom;adresse;npa_localite;telephone;fax;email
1;open architecture Business-focused Berkshire;integrate;Hat;American Samoa payment Customizable;1-673-929-0459 x656;Garden Human;Antonia98@gmail.com
2;plug-and-play monitor indexing;Proactive;transmit Designer;Paradigm Idaho;436-630-2793 x7497;Christmas Island application Dynamic;Dwight_Parker66@yahoo.com
3;Ergonomic Metal Keyboard;Developer 24/7;California Auto Loan Account;Kids;(326) 845-8486 x205;Clothing;Demetrius88@hotmail.com
4;Mouse Rustic Wooden Cheese web-readiness;program;payment Buckinghamshire;programming Organized maximized;(123) 664-7190 x4895;Reactive American Samoa content-based;Karelle_Lang@hotmail.com
5;neutral heuristic West Virginia;reciprocal hard drive Locks;Syrian Arab Republic e-enable;Intelligent Soft Chips;(694) 211-6220;Unbranded Liaison Senior;Madyson_Lang70@hotmail.com
6;ADP;Auto Loan Account;Cambridgeshire Checking Account Checking Account;Rubber French Southern Territories unleash;091.414.9646;models;Adeline10@yahoo.com
7;Indian Rupee Ngultrum;Usability;Home Loan Account back up Supervisor;Generic;(034) 546-7374 x865;black;Kali.Cartwright@hotmail.com
8;Rubber Mobility back-end;Buckinghamshire;Fork matrix;parse Colorado;(347) 343-6260 x103;end-to-end Small Fresh Shirt;Alexander.Hauck3@hotmail.com
9;Australian Dollar lavender;TCP sky blue quantifying;reboot;Berkshire Fantastic Soft Ball PCI;(927) 517-9241 x6292;bypass;Juvenal_Hauck@yahoo.com
10;plug-and-play intuitive;Auto Loan Account Shoal;Movies;Cotton quantify;(568) 414-0614;discrete;Darius_Wyman@gmail.com
